sentence,label
কিন্তু চলাচল করা দিন দিন কঠিন হয়ে যাচ্ছে,0
শিশুদের জন্য বিভিন্ন রাইড ছাড়াও একটি পার্কে যা যা থাকার কথা. এখানে তাই থাকবে,0
আমার প্রশ্ন হলো. মেয়েরা যদি শিক্ষাই না পায়. তাহলে ডাক্তার হবে কোথা থেকে? এ রকম অদ্ভুত ধরনের ফতোয়া এ দেশের কিছু কিছু মাওলানা দিয়ে থাকেন,0
সড়ক কেটে ও বড় বড় গাছ ফেলে অচল করে রাখা হয়েছিল পুরো জেলা,0
নয় মাস ধরে যে আন্দোলন চলে. তাতে কিছু কিছু কর্মীর কাছ থেকে বিভিন্ন অসুবিধার সম্মুখীন হতে হয়,0
আন্তবিভাগ ফুটবল কমিটির সভাপতি শেখ শামীমুল আলমের সভাপতিত্বে পুরস্কার বিতরণী অনুষ্ঠানে প্রধান অতিথি হিসেবে উপস্থিত থেকে পুরস্কার বিতরণ করেন বিশ্ববিদ্যালয়ের উপাচার্য অধ্যাপক আ আ ম স আরেফিন সিদ্দিক,0
তবে গানাসিয়া মনে করেন. যন্ত্র যতই চৌকস হোক. কিছু কিছু বিষয়ে তার সীমাবদ্ধতা থাকবেই,0
এমনিতে এক দিবসী ক্রিকেটে আমাদের শক্তপোক্ত হয়ে ওঠার সঙ্গে সঙ্গে টি–টোয়েন্টির ক্ষেত্রে ভাসমান দুর্বলতা বামুন ক্রিকেটের আবাহনে গা ভাসাতে মন টানত না,0
কিন্তু ত্রয়োদশ এশিয়া কাপটা শুরু হতেই একটু একটু করে আবহটা বদলে যেতে শুরু করল,0
আর সে জন্য চাই একটি যথাযোগ্য উপলক্ষ এবং সেই উপলক্ষ যখন সাড়ম্বরে মার্চের দ্বিতীয় দিনে উপস্থিত হলো বুম বুম আফ্রিদিদের হারিয়ে ফাইনালে উত্তরণের মাধ্যমে. তখন ফুঁৎকারে উড়ে গেল টি-টোয়েন্টি নিয়ে আমাদের সব হীনম্মন্যতা,0
ওই ওই ফাটল রেখার মধ্যে বাংলাদেশও পড়েছে,1
ওই এলাকায় গত কয়েক বছরে বছরে ১০টি তীব্র ভূকম্পন সৃষ্টি হয়েছে,1
ফলে বাংলাদেশে আগামী আগামী দিনগুলোতে আরও ভূমিকম্প আঘাত হানতে পারে,1
এ ধরনের দুর্যোগ থেকে রক্ষায় রক্ষায় আমাদের ভবনগুলোকে ভূমিকম্প সহনশীল করে নির্মাণ করাই সবচেয়ে ভালো প্রস্তুতি ও সমাধান,1
’বিশ্ব আবহাওয়া সংস্থা (ডব্লিউএমও) তো বটেই. যুক্তরাষ্ট্রের আবহাওয়াবিষয়ক সংস্থা এনসো প্রেডিকশন সেন্টার থেকে শুরু করে যুক্তরাজ্যের আবহাওয়া বিভাগ. সবাই এল নিনোর ভয়ংকর ভয়ংকর চেহারা নিয়ে আবির্ভূত হওয়ায় শঙ্কা প্রকাশ করে প্রতিবেদন করেছে,1
তারা বলছে. এল নিনোর নিনোর কারণে আফ্রিকা ও অস্ট্রেলিয়ায় বৃষ্টিপাত কম হবে,1
জাতিসংঘের কৃষিবিষয়ক সংস্থা এফএও এবং যুক্তরাজ্যভিত্তিক আন্তর্জাতিক সংস্থা অক্সফাম থেকে বলা হয়েছে. এল নিনোর কারণে এই অঞ্চলের দেশগুলোতে খরা ও ও খাদ্যাভাব দেখা দেবে,1
ওই অঞ্চলের অধিবাসীদের রক্ষায় এখনই ধনী দেশগুলোকে প্রস্তুতি প্রস্তুতি নিতে বলেছে সংস্থা দুটি,1